"ramName","ramPrice","ramScore"
"JUHOR JHD3200U1916JG 16GB",NA,21977
"Crucial Technology BL8G36C16U4RL.M8FE1 8GB",NA,21974
"Kingston XK2M26-MIE-NX 16GB",NA,21969
"PNY Technologies, Inc. 16GF2X08RHLL42-135-K 16GB",NA,21965
"Kingston 99U5713-009.A00G 8GB",NA,21964
"Corsair CMD16GX4M2C3333C16 8GB",169.99,21960
"Maxsun MSD416G32W4 16GB",NA,21956
"Wilk Elektronik S.A. IRX3200D464L16A/16G 16GB",NA,21951
"G Skill Intl F4-4600C20-16GTZR 16GB",NA,21949
"G Skill Intl F4-3200C14-8GTZSK 8GB",NA,21947
"Crucial Technology BLM16G44C19U4BL.M8FB 16GB",NA,21945
"Kingston XF1R8M-HYM-A 32GB",NA,21944
"Essencore Limited KD4AGUA80-32N220D 16GB",NA,21938
"A-DATA Technology AX5U5200C3816G-B 16GB",NA,21937
"G Skill Intl F4-4400C19-16GTZR 16GB",NA,21933
"G Skill Intl F4-3200C16-16GVKS 16GB",NA,21932
"Kingston CBD32D4S2D8MR-16 16GB",NA,21930
"G Skill Intl F4-4000C18-8GTZKW 8GB",NA,21929
"Mushkin MRX4U320GJJM16G 16GB",NA,21924
"G Skill Intl F4-4000C18-32GTRG 32GB",NA,21923
"Corsair CMK5X32G2B60C40A2 32GB",NA,21917
"Corsair CMT64GX4M2E3200C16 32GB",NA,21915
"G Skill Intl F4-3200C14-8GAK 8GB",NA,21914
"G Skill Intl F4-3466C16-16GTZR 16GB",NA,21914
"Lexar Co Limited LD4BU008G-H3600ULH 8GB",NA,21907
"G Skill Intl F4-3600C14-8GTRSB 8GB",NA,21904
"Lexar Co Limited LD4BU008G-3600WG 8GB",NA,21904
"Corsair CMN128GX4M4Z3600C18 32GB",572.95,21903
"Thermaltake Technology Co Ltd R021D408GX2-3600C18D 8GB",NA,21896
"G Skill Intl F4-4266C19-32GTZR 32GB",NA,21893
"Chun Well Technology Holding Limited MD4U0836165BCW 8GB",NA,21893
"A-DATA Technology AD5U480032G-B 32GB",NA,21883
"Corsair CMH32GX4M2Z3600C18 16GB",145.95,21883
"SK Hynix FRD4AB6B2Z1ABZZ01 16GB",NA,21882
"SK Hynix DDR4 8GB 3200MHz 8GB",NA,21875
"G Skill Intl F4-3600C18-16GTRG 16GB",NA,21875
"Corsair CMW32GX4M4K3733C17 8GB",NA,21873
"Kingston CBD32D4S2S8MR-8 8GB",NA,21869
"G Skill Intl F4-3600C15-8GTZ 8GB",NA,21869
"Corsair CMK32GX5M1B5200C40 32GB",NA,21868
"G Skill Intl F4-3600C16-16GVKC 16GB",NA,21867
"Wilk Elektronik S.A. GR3200D464L22/16G 16GB",NA,21858
"Mushkin MLX4C360EKKT8G 8GB",NA,21852
"G Skill Intl F4-3600C16-8GTRGC 8GB",NA,21852
"Kingston XJV223-MIE 16GB",NA,21847
"Crucial Technology BL16G32C16U4B.16FE 16GB",NA,21844
"A-DATA Technology AX4U360016G18I-DCBK2 16GB",NA,21843
"Crucial Technology CT8G48C40U5.M4A1 8GB",24.99,21836
"Crucial Technology CT8G4DFS832A.C8FP 8GB",NA,21834
"Hewlett-Packard 7EH68AA# 16GB",NA,21832
"EXCELERAM E40832A 8GB",NA,21829
"Kingston KF3733C19D4/8GX 8GB",NA,21828
"Corsair CMK32GX4M2Z3600C18 16GB",NA,21822
"Kingston 9905743-213.A00G 16GB",NA,21815
"Lexar Co Limited LD4BU008G-36000H 8GB",NA,21813
"Crucial Technology CT8G48C40S5.M4A1 8GB",24.99,21810
"Mushkin MRA5S560LKKD48G 48GB",NA,21807
"Daten Tecnologia LTDA DATEN 16G4D32 16GB",NA,21800
"A-DATA Technology AX4U360016G18I-BBKD4 16GB",NA,21800
"Micron Technology MTC8C1084S1SC56BD1 16GB",NA,21794
"Kingston XJV223-MIE-NX 16GB",NA,21794
"A-DATA Technology AX4U36008G18I-DT41 8GB",NA,21792
"V-Color Technology Inc. TA48G30S815GK 8GB",NA,21791
"Samsung M378A2G43MX3-CWE 16GB",NA,21785
"Chun Well Technology Holding Limited D4U0840180B 8GB",NA,21785
"Kingston 9965684-038.A00G 8GB",NA,21783
"Kingston XW21KG-MIE-NX 8GB",NA,21782
"Kingston HP37D4U1S8MR-8XR 8GB",NA,21781
"Kingston 9905743-139.A00G 8GB",NA,21772
"Transcend Information JM3200HLH-4G 4GB",NA,21768
"G Skill Intl F4-3200C14-32GTRS 32GB",NA,21766
"Corsair CMH16GX4M2D3600C18 8GB",64.99,21764
"Micron Technology 16ATF4G64AZ-3G2F1 32GB",NA,21761
"G Skill Intl F4-3600C16-8GTRG 8GB",NA,21758
"A-DATA Technology AX4U320016G16A-BB50G 16GB",NA,21757
"Mushkin MR[ABC]4U320GJJM32G 32GB",NA,21756
"Corsair CMW16GX4M2C3200C14 8GB",214.99,21755
"Mushkin MRX4U360GKKP16G 16GB",NA,21752
"Crucial Technology CT16G48C40U5.M8A1 16GB",111.99,21751
"A-DATA Technology AX4U36008G18I-DT50 8GB",NA,21751
"Crucial Technology BL16G32C16U4B.M16FE1 16GB",NA,21750
"A-DATA Technology AX4U320016G16A-BW50 16GB",NA,21744
"Crucial Technology CT32G48C40U5.M16A1 32GB",NA,21743
"G Skill Intl F4-3600C17-16GTZ 16GB",NA,21742
"V-Color Technology Inc. TE416G26D819VK-VKC 16GB",NA,21739
"A-DATA Technology AX4U32008G16A-SBKD35 8GB",NA,21739
"Crucial Technology CT32G56C46U5.C16D 32GB",79.99,21735
"Crucial Technology CT8G4DFS832A.C8FE 8GB",26.67,21734
"Corsair CMG16GX4M2D3600C18 8GB",88.95,21726
"Kingston 9905782-147.A00G 32GB",NA,21724
"Thermaltake Technology Co Ltd RG30D516GX2-5600C36A 16GB",169,21717
"Asgard VMA47UG-AMC1U2BW3 8GB",NA,21713
"Crucial Technology CT16G4DFRA32A.C16FT 16GB",NA,21709
"Corsair CMT32GX4M2D3600C18 16GB",251.95,21707
"Kingston XVTW4H-MIE-NX 32GB",NA,21705
"A-DATA Technology AX4U320016G16A-SWHD3 16GB",NA,21694
"Crucial Technology BLE8G4D40BEEAK.M8FE1 8GB",NA,21693
"A-DATA Technology DDR4 3600 8GB",NA,21693
"Hewlett-Packard 7TE46AA# 8GB",NA,21692
"SK Hynix DDR4 16GB 3200MHz 16GB",NA,21689
"Kingston KF548S38-16 16GB",NA,21680
"Corsair CMHX16GD3600C18H4D 16GB",NA,21679
"Corsair CM4S16GL3200K18K2 16GB",NA,21676
"Corsair CMP48GX5M2B7000C36 24GB",NA,21672
"Thermaltake Technology Co Ltd RG26D408GX2-3600C18A 8GB",119,21672
"G Skill Intl F4-4000C16-16GTRS 16GB",NA,21672
"Corsair CMG64GX4M4E3200C16 16GB",298.95,21666
"Corsair CMH32GX5M2X6400C32 16GB",NA,21664
"G Skill Intl F4-4000C17-8GVKB 8GB",NA,21658
"G Skill Intl F4-4000C17-16GTRGB 16GB",NA,21657
"G Skill Intl F4-3200C14-16GTRS 16GB",NA,21655
"Thermaltake Technology Co Ltd R022D408GX2-3600C18A 8GB",109,21641
"Corsair CMH32GX4M2Z3200C16 16GB",151.95,21639
"Lexar Co Limited LD4BU008G-3600LH 8GB",NA,21639
"G Skill Intl F4-3600C16-8GTZKW 8GB",NA,21636
"Corsair CMW64GX4M4D3600C18 16GB",604.98,21635
"G Skill Intl F5-4800S3838A32G 32GB",NA,21627
"SK Hynix HMCG78AGBSA095N 16GB",NA,21620
"A-DATA Technology AX4U360016G18I-DCBKD 16GB",NA,21620
"Kingston HP37D4U1S8ME-8XR 8GB",NA,21616
"Kingston 99U5743-045.A00G 16GB",NA,21613
"Corsair CMH64GX4M4D3600C18 16GB",NA,21608
"G Skill Intl F4-3600C17-8GTRS 8GB",NA,21600
"G Skill Intl F4-4000C19-16GTZKK 16GB",NA,21600
"A-DATA Technology AL2P32NCSV1-B1CS 16GB",NA,21593
"Lexar Co Limited LD4BU008G-3200XG 8GB",NA,21589
"G Skill Intl F5-4800S4039A32G 32GB",NA,21588
"Patriot Memory (PDP Systems) 3600 Series 32GB",NA,21588
"G Skill Intl F4-3200C14-8GVR 8GB",NA,21586
"Apacer Technology GD2.42312H.002 16GB",NA,21583
"Cuso JH4U3600E18082C 8GB",NA,21583
"Asgard VAM5UH64C32AG-DGURBM 16GB",NA,21581
"Gloway International Co. Ltd. ABY4U3200E18082C 8GB",NA,21579
"Corsair CMN64GX4M2Z3200C16 32GB",659,21578
"G Skill Intl F4-3600C16-16GTZNC 16GB",NA,21570
"Corsair CMG32GX4M2D3600C18 16GB",129,21570
"Kingston CBD48S40BD8MA-32 32GB",NA,21563
"Kingston X6TCK6-MIE 32GB",NA,21559
"G Skill Intl F4-4000C18-8GTZR 8GB",NA,21558
"Gloway International Co Ltd TAC4U3600E18082C 8GB",NA,21553
"A-DATA Technology AX4U32008G16A-DW50 8GB",NA,21548
"Gold Key Technology Co Ltd NMGD480E82-4400G 8GB",NA,21547
"G Skill Intl F4-3600C16-8GTZNC 8GB",NA,21544
"Crucial Technology BL16G32C16U4R.16FE 16GB",NA,21543
"Lexar Co Limited LD4AU016G-3200ST 16GB",NA,21536
"Kingston ACR32D4U2S1ME-8F 8GB",NA,21534
"Chun Well Technology Holding Limited D4U0836182B 8GB",NA,21529
"Kingston KF432C16BB/8-SP 8GB",NA,21528
"Micron Technology MTC8C1084S1SC48BA1 BC 16GB",NA,21519
"G Skill Intl F4-3800C18-8GTZN 8GB",NA,21519
"Corsair CMK16GX4M2K4600C19 8GB",NA,21516
"Kingston 9905734-161.A00G 16GB",NA,21516
"Mushkin MLX4C320GJJM16G 16GB",NA,21514
"Corsair CMR32GX4M2F3600C18 16GB",761.99,21513
"V-Color Technology Inc. TA48G36S818BN 8GB",NA,21506
"A-DATA Technology AX4U320016G16A-DCBK2 16GB",NA,21505
"Patriot Memory (PDP Systems) 4000 C20 Series 8GB",NA,21505
"Pioneer High Fidelity Taiwan Co.Ltd APS-M48GUHN32J-4MB 8GB",NA,21501
"Kingston 9965745-039.A00G 32MB",NA,21499
"Xiâ€™an UnilC Semiconductors Co Ltd SCE16GS03H2F1C-32AA 16GB",NA,21499
"G Skill Intl F4-3600C16-8GTESC 8GB",NA,21496
"G Skill Intl F4-4400C19-16GTRS 16GB",NA,21496
"G Skill Intl F4-3600C14-16GTRGA 16GB",NA,21492
"Mushkin MLA4C360JNNM8G 8GB",NA,21491
"Crucial Technology BL8G36C16U4R.M8FE1 8GB",NA,21489
"Kingston CBD32D4S2S8HC-16 16GB",NA,21485
"G Skill Intl F4-3200C14-8GTZKW 8GB",NA,21485
"Corsair CMG64GX4M2D3600C18 32GB",361.95,21478
"Thermaltake Technology Co Ltd R019D408GX2-3600C18A 8GB",69,21478
"G Skill Intl F4-3600C18-8GTZR 8GB",NA,21475
"PNY Technologies, Inc. 8GBF1X08RHJJ40-135-K 8GB",NA,21474
"Mushkin MLX4C413KOOP16G 16GB",NA,21470
"G Skill Intl F4-4000C14-8GTRG 8GB",NA,21467
"G Skill Intl F4-4000C18-16GTZR 16GB",NA,21459
"Corsair CMSX32GX5M1A4800C40 32GB",155,21458
"Essencore Limited KD4AGU880-32N220D 16GB",NA,21458
"Chun Well Technology Holding Limited D4U1636180B 16GB",NA,21457
"G Skill Intl F4-3333C16-8GTZB 8GB",NA,21454
"Samsung M323R4GA3BB0-CQKOL 32GB",NA,21450
"A-DATA Technology AX4U32008G16A-ST41 8GB",NA,21450
"Kingston 99U5713-008.A00G 4GB",NA,21445
"Crucial Technology BL16G30C15U4W.M16FE1 16GB",NA,21445
"SanMax Technologies Inc. SMD4-U32G88SB-32AA 32GB",NA,21444
"Kingston KF548C38-16 16GB",NA,21443
"Wilk Elektronik S.A. IRP3600D4V64L18S/8G 8GB",NA,21440
"Corsair CMD8GX4M2B4000C19 4GB",415.63,21439
"V-Color Technology Inc. TO432G32D816ASPSXS 32GB",NA,21438
"Mushkin MLX4C360GKKP8G 8GB",NA,21437
"Mushkin MRX4U320GJJM32G 32GB",NA,21433
"Corsair CMN16GX4M2Z3200C16 8GB",100.95,21430
"Team Group Inc. TEAMGROUP-UD4-4000 4GB",NA,21428
"Mushkin MR[ABC]4U266GHHF32G 32GB",NA,21424
"G Skill Intl F4-3600C18-32GTRS 32GB",NA,21423
"Kingmax Semiconductor GLQG43F-18---------- 8GB",NA,21422
"Corsair CMT16GX4M2K4000C19 8GB",NA,21420
"Ramaxel Technology RMUA5190MR86H9F-3200 4GB",NA,21420
"Team Group Inc. TEAMGROUP-UD4-4800 8GB",NA,21419
"Corsair CMHX8GD3600C18H4D 8GB",NA,21417
"PNY Technologies, Inc. 16GF1X16RHLL42-135-K 16GB",NA,21415
"Patriot Memory (PDP Systems) 4400 C18 Series 8GB",NA,21415
"Crucial Technology BL16G36C16U4WL.M16FE 16GB",NA,21406
"Corsair CMT64GX4M2C3600C18 32GB",NA,21400
"Kingston KF3200C16D4/16GX 16GB",NA,21399
"Apacer Technology GD2.1843WS.003 16GB",NA,21399
"Corsair CMT32GX4M4C3600C18 8GB",292.95,21398
"Essencore Limited KD48GU880-36A180Z 8GB",NA,21394
"Txrui 3200C22 8GB",39,21393
"ATP Electronics Inc. X4C16QE8BNRCME-E-LI1 16GB",NA,21393
"Essencore Limited KD4BGUA80-32N220D 32MB",NA,21393
"Corsair CMH32GX4M2D3600C18 16GB",119,21392
"Asgard VMA47UG-MEC1U2AV5 8GB",NA,21391
"Corsair CM4X16GC3600C18K2D 16GB",NA,21387
"G Skill Intl F4-3200C14-16GTZSW 16GB",NA,21385
"Asgard VMA47UG-AMC1U2BV5 8GB",NA,21382
"G Skill Intl F4-4266C19-16GTZR 16GB",NA,21380
"A-DATA Technology AX4U32008G16A-DT50 8GB",NA,21380
"G Skill Intl F4-4000C16-8GVK 8GB",NA,21373
"Kingston KF3000C15D4/16GX 16GB",NA,21370
"G Skill Intl F4-4800C19-8GVKC 8GB",NA,21368
"Corsair CMWX16GD3600C18W2D 16GB",NA,21355
"Lexar Co Limited LD4BU008G-H3600GLH 8GB",NA,21348
"Crucial Technology BL8G32C16U4W.8FE 8GB",NA,21346
"Chun Well Technology Holding Limited D4U0836164B 8GB",NA,21346
"Corsair CMK64GX5M2B6000C38 32GB",NA,21339
"Team Group Inc. TEAMGROUP-D4-3866 4GB",NA,21338
"Asgard VMA47UG-MEC1U22T3 8GB",NA,21327
"Corsair CMW32GX4M2Z3600C18 16GB",139,21323
"Kingston 9905782-074.A01G 32GB",NA,21322
"G Skill Intl F4-3600C18-8GTRG 8GB",NA,21322
"Golden Empire CL34-38-38 D5-5200 16GB",NA,21320
"A-DATA Technology AX4U320016G16A-DT41 16GB",NA,21319
"Kingston X2YH1K-MIE 16GB",NA,21318
"G Skill Intl F4-4000C17-8GTZR 8GB",NA,21318
"G Skill Intl F4-3400C16-8GSXW 8GB",NA,21316
"Crucial Technology BLM8G44C19U4B.M8FE1 8GB",NA,21312
"G Skill Intl F4-3200C14-8GTZKY 8GB",NA,21311
"Thermaltake Technology Co Ltd R022D408GX2-4600C19A 8GB",209,21301
"G Skill Intl F4-3600C16-16GTZRC 16GB",NA,21301
"Corsair CMD32GX4M2C3200C14M 16GB",NA,21294
"Corsair CMH48GX5M2B7200C36 24GB",NA,21293
"Kingston 9905789-109.A00G 32GB",NA,21289
"V-Color Technology Inc. TO432G32D816ASPSXK 32GB",NA,21285
"Corsair CMWB8G1L3200K16W4 8GB",NA,21284
"A-DATA Technology AX5U5200C388G-BLABK 8GB",NA,21283
"Corsair CMK16GX4M2Z3466C16 8GB",132.99,21283
"A-DATA Technology AL1P32NC8T1-B8DS 8GB",NA,21282
"Samsung M323R1GB4DB0-CWMOL 8GB",NA,21273
"Kingston HX432C16FB/16 16GB",NA,21273
"Crucial Technology CT32G4DFD832A.C16FF 32GB",NA,21270
"Corsair CMK96GX5M2B5600C40 48GB",487.95,21269
"Corsair CMK64GX4M4B2800C14 16GB",464.99,21268
"Corsair CM4S32GL3200K18K2 32GB",NA,21265
"Patriot Memory (PDP Systems) 4000 C19 Series 8GB",NA,21265
"SK Hynix HMCG88AEBSA095N 32GB",NA,21262
"Crucial Technology CP16G4DFRA32A.M16FE 16GB",NA,21262
"A-DATA Technology AX4U413316G19J-BT50 16GB",NA,21255
"Crucial Technology BLM16G44C19U4B.M8FB1 16GB",NA,21255
"A-DATA Technology AD5S480032G-B 32GB",NA,21239
"Hangzhou Hikstorage Technology Co HKED4081CAA2F2HB2 8GB",NA,21238
"G Skill Intl F4-3200C15-16GTZKY 16GB",NA,21237
"Corsair CMK32GX4M2G4000C19 16GB",NA,21236
"A-DATA Technology AX4U32008G16A-DCBKD4 8GB",NA,21234
"G Skill Intl F4-3600C17-16GTZKW 16GB",NA,21233
"V-Color Technology Inc. TL51656840-E6PGAWK 16GB",NA,21230
"Lexar Co Limited LD4BU016G-36000H 16GB",NA,21226
"Kingston KF3000C16D4/16GX 16GB",NA,21223
"Corsair CMD8GX4M2B3866C18 4GB",257.22,21217
"A-DATA Technology AM2P32NC8T1-BGTS 8GB",NA,21214
"G Skill Intl F4-3600C18-16GVK 16GB",NA,21209
"Crucial Technology CT32G56C46U5ES.M16B2 32GB",NA,21208
"Wilk Elektronik S.A. IRXL3200D464L16A/16G 16GB",NA,21208
"Kingston X2YH1K-MIE-NX 16GB",NA,21207
"Corsair CMK32GX4M2D3600C18 16GB",119,21206
"Kingston 9905713-021.A00G 4GB",NA,21203
"G Skill Intl F4-3600C19-16GSXK 16GB",NA,21201
"Acer BL.9BWWR.268 8GB",NA,21200
"Wilk Elektronik S.A. GR5600S564L46S/16G 16GB",NA,21199
"Transcend Information JM3200HLB-16G 16GB",NA,21198
"Galaxy Microsystems Ltd. D4U1632163B 16GB",NA,21196
"Corsair CMK32GX4M4K4266C19 8GB",NA,21196
"ACPI Digital Co. Ltd. 7D500309 16GB",NA,21193
"Kingston LV32D4U2S8ME-16F 16GB",NA,21192
"Gold Key Technology Co Ltd NMUD416E82-3600D 16GB",NA,21188
"A-DATA Technology DDR4 3333 2OZ 4GB",NA,21187
"Jazer JAD3200U1832 32GB",NA,21187
"Kingston HP37D4U1S8HC-16XR 16GB",NA,21179
"Micron Technology MTC4C10163S1SC48BA1 BC 8GB",NA,21178
"V-Color Technology Inc. TE416G26D819K-VKC 16GB",NA,21178
"Corsair CMH32GX4M2C3600C20 16GB",NA,21175
"Kllisre 8G 3200 8GB",NA,21174
"Essencore Limited KD4AGS88C-32N2200 16GB",NA,21173
"Corsair CMT64GX4M4E3200C16 16GB",719.98,21171
"Ramaxel Technology RMSA3310MB96HAF-3200 8GB",NA,21167
"Kingston KHX3600C17D4/16GX 16GB",NA,21167
"G Skill Intl F4-3600C18-16GTZR 16GB",NA,21163
"Corsair CMK32GX4M2Z4000C18 16GB",NA,21162
"G Skill Intl F4-3200C15-8GTZKW 8GB",NA,21160
"Crucial Technology CT16G4DFS832A.C8FF 16GB",NA,21159
"Corsair CMK64GX5M2B5600C36 32GB",NA,21154
"Gold Key Technology Co Ltd NMGD416F82-3200D 16GB",NA,21151
"KingSpec KS3200D4M13516G 16GB",NA,21148
"Golden Empire CL18-22-22 D4-3600 16GB",NA,21148
"TwinMOS TM32GB3200N 32GB",NA,21148
"Crucial Technology CT16G4SFS832A.C8FF 16GB",NA,21147
"Crucial Technology CP32G4DFRA32A.M16FF 32GB",NA,21147
"PNY Technologies Inc 16GP1X1664JJJ84-14-K3-RGB 16GB",NA,21146
"Essencore Limited KD4AGU880-36A180X 16GB",NA,21146
"Lexar Co Limited LD4EU008G-H4000GWA 8GB",NA,21141
"Corsair CMW32GX4M2D3600C18 16GB",126.99,21136
"V-GEN D4H8GL36A8TXV 8GB",NA,21136
"A-DATA Technology AX4U320038G16A-DRZ1 8GB",NA,21135
"Chun Well Technology Holding Limited ND4U0840180BRPDE 8GB",NA,21130
"Crucial Technology BLS4G4D26BFSB.8FD2 4GB",NA,21129
"Crucial Technology CT32G52C42S5.M16G1 32GB",114.99,21121
"Crucial Technology CT16G4DFS832A.M8FF 16GB",NA,21121
"Crucial Technology BL16G32C16U4BL.16FE 16GB",NA,21120
"Corsair CMH32GX5M2X7600C36 16GB",292.95,21119
"Crucial Technology BL16G32C16U4W.M16FE1 16GB",NA,21115
"Chun Well Technology Holding Limited CL19-23-23 D4-4000 16GB",NA,21114
"Mushkin MRX4U413KOOP8G 8GB",NA,21113
"Corsair CMR32GX4M4C3466C16 8GB",523.32,21112
"G Skill Intl F4-3200C14-16GTZR 16GB",NA,21111
"Lexar Co Limited LD4AU016G-H3200GST 16GB",NA,21106
"Corsair CMSX32GX5M2A4800C40 16GB",149,21105
"A-DATA Technology AX4U360016G18I-BBKD3 16GB",NA,21101
"Corsair CMH48GX5M2B7000C40 24GB",323.95,21098
"JUHOR JHD3600U1816JG 16GB",NA,21094
"Shenzhen Micro Innovation Industry KF3200DDCD4 16GB",NA,21093
"Kingston LV32D4U2S8SD-8 8GB",NA,21093
"Timetec International Inc TIMETEC-32G3600BRGB 32GB",NA,21090
"Wilk Elektronik S.A. IRG36D4L18S/8G 8GB",NA,21089
"Crucial Technology BL16G36C16U4B.M8FE1 16GB",NA,21087
"Team Group Inc. TEAMGROUP-UD4-4133 8GB",NA,21086
"Crucial Technology BLM16G40C18U4BL.M8FB 16GB",NA,21083
"King Tiger Technology TMKU8G68AHFHD-32A 8GB",NA,21081
"Chun Well Technology Holding Limited CL18-22-22 D4-4000 16GB",NA,21081
"Crucial Technology BL16G36C16U4RL.M16FE 16GB",NA,21080
"Gold Key Technology Co Ltd NMUD480E82-3600D 8GB",NA,21077
"G Skill Intl F4-4000C18-32GVK 32GB",NA,21077
"Corsair CMT32GX4M4K4000C19 8GB",NA,21076
"PNY Technologies, Inc. 8GBF1X08VIPP46-15-K3 8GB",NA,21076
"V-Color Technology Inc. TL1642819C-E6PGAWK 16GB",NA,21074
"Kingston KF432C16BB/16-SP 16GB",NA,21073
"Essencore Limited KD4AGU880-32N2200 16GB",NA,21072
"A-DATA Technology AX4U360016G18I-BWHD3 16GB",NA,21069
"Samsung M378A2K43EB1-CWE 16GB",NA,21069
"G Skill Intl F4-3600C14-8GTZRA 8GB",NA,21067
"G Skill Intl F4-3600C16-16GTRSC 16GB",NA,21065
"G Skill Intl F4-4266C19-32GTES 32GB",NA,21064
"Kingston KF4266C19D4/8GX 8GB",NA,21061
"Corsair CMSX64GX5M2A4800C40 32GB",259,21058
"GIGA - BYTE Technology Co Ltd GP-ARS16G37 8GB",149,21055
"Kingston 9965757-037.A00G 64GB",NA,21053
"Corsair CMWX8GF3200Z22W4 8GB",NA,21051
"Gold Key Technology Co Ltd NMGD480E82-3200D 8GB",NA,21050
"A-DATA Technology DDR4 4133 8GB",NA,21049
"A-DATA Technology AX4U320016G16A-BB10 16GB",NA,21048
"Corsair CMK16GX4M2C3333C16 8GB",93.99,21042
"Avant Technology AVJ642GU44K6560P03-HYM7 16GB",NA,21041
"Corsair CMT16GX4M2C3600C18 8GB",157.95,21041
"Crucial Technology CT12G56C46S5.M4B1 12GB",NA,21040
"Kingston HP37D4U1S8MR-8X 8GB",NA,21030
"Crucial Technology BL32G32C16U4RL.M16FB 32GB",NA,21028
"Zhejiang Dahua Memory Technology DDR-C600 16GB",NA,21027
"Gold Key Technology Co Ltd NMUD416F82-3200E 16GB",NA,21024
"Kingston KF3200C16D4/32GX 32GB",NA,21015
"Asgard VMA45UH-MEC1U22T3 16GB",NA,21011
"Asgard VAM5UH60C28AG-CVARBA 16GB",NA,21010
"G Skill Intl F4-4800C19-8GTZRC 8GB",NA,21007
"Kingston HP37D4U1S8ME-8X 8GB",NA,21004
"G Skill Intl F5-6000U3636E16G 16GB",699,21001
"Lexar Co Limited LD4BU016G-3600WG 16GB",NA,21001
"G Skill Intl F4-2800C15-4GTZB 4GB",NA,21001
"G Skill Intl F4-3200C14-8GTZN 8GB",NA,21000
"G Skill Intl F4-3600C16-32GTRG 32GB",NA,20999
"V-Color Technology Inc. TL8G36818D-E6PRKWK 8GB",NA,20997
"G Skill Intl F4-3200C16-16GTZRN 16GB",NA,20995
"Kingston CBD32D4U2S1MF-8 8GB",NA,20993
"Crucial Technology BLE4G4D32AEEA.K8FE 4GB",144.21,20992
"G Skill Intl F4-3200C14-8GFX 8GB",NA,20992
"Kingston LV36D4U1S8HD-8XR 8GB",NA,20978
"Samsung M378A1G44CB0-CWE 8GB",NA,20977
"G Skill Intl F4-3600C18-16GTRS 16GB",NA,20976
"Chun Well Technology Holding Limited ND4U1632162BRPDE 16GB",NA,20974
"G Skill Intl F4-3600C16-16GTRGC 16GB",NA,20971
"Micron Technology 4ATF1G64AZ-3G2F1 8GB",NA,20969
"Crucial Technology BL8G32C16U4RL.8FE 8GB",NA,20967
"Essencore Limited KD48GU880-36A180X 8GB",NA,20965
"Kingston 9905743-150.A00G 16GB",NA,20963
"PUSKILL PJ8TFK2GM8 16GB",NA,20961
"Crucial Technology BL16G30C15U4B.M16FE 16GB",NA,20960
"Corsair CMH16GX4M2E3200C16 8GB",79,20955
"Corsair CMK64GX4M4C3333C16 16GB",NA,20952
"Mushkin MLX4C360JNNM8G 8GB",NA,20948
"G Skill Intl F4-3800C18-16GTZN 16GB",NA,20947
"Kingston 99U5701-003.A00G 16GB",NA,20946
"SK Hynix HMA851U6DJR6N-XN 4GB",NA,20943
"Neo Forza GKE320SO204808-3200 32GB",NA,20941
"Lexar Co Limited LD4BU008G-3600LA 8GB",NA,20937
"Crucial Technology CT8G56C46U5.M4G1 8GB",22.99,20935
"Lexar Co Limited LD4BU016G-H3600ULH 16GB",NA,20932
"Corsair CMW8GX4M1Z3600C18 8GB",NA,20920
"Kingston KHX3466C17D4/32GX 32GB",NA,20917
"G Skill Intl F4-4400C19-32GTRG 32GB",NA,20914
"A-DATA Technology AO1V60ICSV1-BIKS 16GB",NA,20913
"Chun Well Technology Holding Limited MD4U1636180DCW 16GB",NA,20909
"Shenzhen Fanxiang Information Technology UD1108G36D 8GB",NA,20909
"Corsair CMP64GX5M4B6000C36 16GB",NA,20905
"A-DATA Technology AX4U320016G16A-SBKD3 16GB",NA,20901
"Corsair CMH64GX4M2E3200C16 32GB",NA,20892
"Gold Key Technology Co Ltd NMUD516F81-6400F 16GB",NA,20891
"Kingston KF3200C16D4/8GX 8GB",NA,20889
"Essencore Limited KD4AGUA80-36A180C 16GB",NA,20887
"Corsair CMK8GX4M1Z3600C18 8GB",NA,20884
"G Skill Intl F4-4133C17-8GTZR 8GB",NA,20877
"Kingston HP32D4U2S8ME-16 16GB",NA,20877
"A-DATA Technology DDR4 4400 8GB",NA,20877
"Crucial Technology CP32G4DFRA32A.C16FF 32GB",NA,20876
"Corsair CMN32GX4M2Z4000C18 16GB",436.95,20870
"AMD R9S432G3206U2S 32GB",NA,20868
"Corsair CMG8GX4M1E3200C16 8GB",NA,20865
"Mushkin MR[ABC]4U413KOOP8G 8GB",NA,20864
"G Skill Intl F4-4600C19-8GVKE 8GB",NA,20858
"Kingston X1MGT9-HYM-A 32GB",NA,20850
"Crucial Technology CT16G4DFRA32A.M16FE 16GB",NA,20849
"Corsair CMT64GX4M4K3600C18 16GB",636.98,20841
"SK Hynix HMAG68EXNUA076N 8GB",NA,20837
"Kingston KF4000C19D4/8GX 8GB",NA,20837
"Kimtigo Semiconductor (HK) Limited Kimtigo-8G-3200 8GB",NA,20831
"G Skill Intl F4-3466C16-8GVR 8GB",NA,20830
"G Skill Intl F4-3200C14-16GVK 16GB",NA,20824
"Colorful Technology Ltd CD08G3200D4NP16 8GB",NA,20822
"Apacer Technology GD2.1827CS.007 8GB",NA,20818
"Corsair CMW16GX4M2K4000C19 8GB",256.98,20818
